FID,ROADNAME,NUM_LANES,SUR_TYPE,Label_Cate
3026,S MT SHASTA BLVD,2,Paved,City Street
3027,SAWYERS BAR ROAD,2,Paved,County Road
3028,MEADOW AVE,2,Paved,City Street
3029,MEADOW AVE,2,Paved,City Street
3030,LE BARON DR,2,Paved,City Street
3031,GLEN MAR DR,2,Paved,City Street
3032,GLEN MAR DR,2,Paved,City Street
3033,OLD MILL RD,2,Paved,City Street
3034,EDDY DRIVE,2,Paved,County Road
3035,JAMES COURT,2,Paved,County Road
3036,PALMER ROAD,2,Paved,County Road
3037,REAM AVENUE,2,Paved,County Road
3038,S MT SHASTA BLVD,2,Paved,City Street
3039,LOVETA LN,2,Paved,City Street
3040,EDDY DRIVE,2,Paved,County Road
3041,OLD MCCLOUD ROAD,2,Paved,County Road
3042,S MT SHASTA BLVD,2,Paved,City Street
3043,BEAR SPRINGS RD,2,Paved,City Street
3044,BEAR SPRINGS RD,2,Paved,City Street
3045,BEAR SPRINGS RD,2,Paved,City Street
3046,UPLANDS WAY,2,Paved,County Road
3047,OLD MCCLOUD ROAD,2,Paved,County Road
3048,SAWYERS BAR ROAD,2,Paved,County Road
3049,REAM AVENUE,2,Paved,County Road
3050,I-5,2,Paved,Interstate
3051,REAM AVENUE,2,Paved,County Road
3052,I-5,2,Paved,Interstate
3053,EDDY DRIVE,2,Paved,County Road
3054,OLD MCCLOUD ROAD,2,Paved,County Road
3055,OLD MCCLOUD ROAD,2,Paved,County Road
3056,REAM AVENUE,2,Paved,County Road
3057,SOUTH OLD STAGE ROAD,2,Paved,County Road
3058,CECILVILLE ROAD,2,Paved,County Road
3059,VILLAGE WAY,2,Paved,City Street
3060,W A BARR ROAD,2,Paved,County Road
3061,WEST REAM AVENUE,2,Paved,County Road
3062,WEST REAM AVENUE,2,Paved,County Road
3063,WEST REAM AVENUE,2,Paved,County Road
3064,SOUTH FORK ROAD,2,Paved,County Road
3065,SOUTH FORK ROAD,2,Unpaved,County Road
3066,S MT SHASTA BLVD,2,Paved,City Street
3067,SOUTH MT SHASTA BOULEVARD,2,Paved,County Road
3068,X,2,Paved,City Street
3069,WHITES GULCH ROAD,2,Unpaved,County Road
3070,W A BARR ROAD,2,Paved,County Road
3071,SOUTH OLD STAGE ROAD,2,Paved,County Road
3072,SISKIYOU LAKE BL,2,Paved,County Road
3073,CLEA LANE,2,Paved,County Road
3074,HOLIDAY LANE,2,Paved,County Road
3075,W A BARR ROAD,2,Paved,County Road
3076,LAKE COURT,2,Paved,County Road
3077,SISKIYOU LAKE BL,2,Paved,County Road
3078,PAULS PLACE,2,Paved,County Road
3079,CLEA LANE,2,Paved,County Road
3080,SOUTH MT SHASTA BOULEVARD,2,Paved,County Road
3081,SISKIYOU LAKE BL,2,Paved,County Road
3082,CONAN PLACE,2,Paved,County Road
3083,DEAS WAY,2,Paved,County Road
3084,CHRISTIAN WAY,2,Paved,County Road
3085,CONAN PLACE,2,Paved,County Road
3086,SISKIYOU LAKE BL,2,Paved,County Road
3087,CONAN COURT,2,Paved,County Road
3088,I-5,2,Paved,Interstate
3089,HOLIDAY LANE,2,Paved,County Road
3090,W A BARR ROAD,2,Paved,County Road
3091,HOLIDAY COURT,2,Paved,County Road
3092,CHRISTIAN WAY,2,Paved,County Road
3093,I-5,2,Paved,Interstate
3094,NORTH SHORE ROAD,2,Unpaved,County Road
3095,DEAS WAY,2,Paved,County Road
3096,DEAS WAY,2,Paved,County Road
3097,I-5R,2,Paved,Interstate Ramp
3098,I-5,3,Paved,Interstate
3099,HOLIDAY LANE,2,Paved,County Road
3100,I-5R,2,Paved,Interstate Ramp
3101,I-5,2,Paved,Interstate
3102,CONESTOGA COURT,2,Paved,County Road
3103,SOUTH OLD STAGE ROAD,2,Paved,County Road
3104,WAGON WHEEL ROAD,2,Paved,County Road
3105,I-5R,2,Paved,Interstate Ramp
3106,SOUTH MT SHASTA BOULEVARD,2,Paved,County Road
3107,GRANT ROAD,2,Paved,County Road
3108,BIG CANYON DRIVE,2,Paved,County Road
3109,I-5R,2,Paved,Interstate Ramp
3110,I-5,3,Paved,Interstate
3111,GATEWAY PARK DRIVE,2,Paved,County Road
3112,HWY 89,2,Paved,State Highway
3113,HWY 89,2,Paved,State Highway
